City,Region,Country,Place combined,"""Help Nepal"", Indexed search interest (1-100)",Time (in GMT)
Southborough,Massachusetts,United States,"Southborough, United States",8,4/26/15 14:34
Yamuna Nagar,Haryana,India,"Yamuna Nagar, India",33,4/26/15 14:34
Hellevoetsluis,South Holland,Netherlands,"Hellevoetsluis, Netherlands",7,4/26/15 14:38
Antwerpen,Flanders,Belgium,"Antwerpen, Belgium",0,4/26/15 14:38
Asheville,North Carolina,United States,"Asheville, United States",1,4/26/15 14:38
Aurora,Illinois,United States,"Aurora, United States",2,4/26/15 14:38
Brampton,Ontario,Canada,"Brampton, Canada",0,4/26/15 14:38
Dallas,Texas,United States,"Dallas, United States",0,4/26/15 14:38
Dallastown,Pennsylvania,United States,"Dallastown, United States",33,4/26/15 14:38
Evanston,Illinois,United States,"Evanston, United States",2,4/26/15 14:38
Fairfax,Virginia,United States,"Fairfax, United States",3,4/26/15 14:38
Lisneburg,Lower Saxony,Germany,"Lisneburg, Germany",2,4/26/15 14:38
Miramar,Florida,United States,"Miramar, United States",2,4/26/15 14:38
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 14:38
New York,New York,United States,"New York, United States",0,4/26/15 14:38
West Wellow,England,United Kingdom,"West Wellow, United Kingdom",4,4/26/15 14:38
Yekaterinburg,Sverdlovsk Oblast,Russia,"Yekaterinburg, Russia",0,4/26/15 14:38
Arlington Heights,Illinois,United States,"Arlington Heights, United States",1,4/26/15 14:39
Edinburgh,Scotland,United Kingdom,"Edinburgh, United Kingdom",0,4/26/15 14:39
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/26/15 14:39
Huntington,Virginia,United States,"Huntington, United States",33,4/26/15 14:39
Kirkland,Washington,United States,"Kirkland, United States",5,4/26/15 14:39
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 14:39
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/26/15 14:39
Mountain View,California,United States,"Mountain View, United States",2,4/26/15 14:39
Queensbury,New York,United States,"Queensbury, United States",6,4/26/15 14:39
Rocky Mount,North Carolina,United States,"Rocky Mount, United States",6,4/26/15 14:39
Stowe,Vermont,United States,"Stowe, United States",13,4/26/15 14:39
Tampa,Florida,United States,"Tampa, United States",0,4/26/15 14:39
Austin,Texas,United States,"Austin, United States",0,4/26/15 14:43
Chicago,Illinois,United States,"Chicago, United States",0,4/26/15 14:43
Gwangju-si,Gyeonggi-do,South Korea,"Gwangju-si, South Korea",6,4/26/15 14:43
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/26/15 14:43
Berlin,Berlin,Germany,"Berlin, Germany",0,4/26/15 14:44
Coral Gables,Florida,United States,"Coral Gables, United States",3,4/26/15 14:44
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 14:44
Guatemala City,Guatemala,Guatemala,"Guatemala City, Guatemala",0,4/26/15 14:44
South Brunswick Township,New Jersey,United States,"South Brunswick Township, United States",4,4/26/15 14:44
Town Line,New York,United States,"Town Line, United States",6,4/26/15 14:44
Jeju-si,Jeju-do,South Korea,"Jeju-si, South Korea",4,4/26/15 14:47
Medford,Massachusetts,United States,"Medford, United States",3,4/26/15 14:47
Mont-Laurier,Quebec,Canada,"Mont-Laurier, Canada",10,4/26/15 14:47
Mount Olive Township,New Jersey,United States,"Mount Olive Township, United States",10,4/26/15 14:47
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/26/15 14:47
San Diego,California,United States,"San Diego, United States",0,4/26/15 14:47
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 14:47
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 14:48
Basel,Basel-Stadt,Switzerland,"Basel, Switzerland",1,4/26/15 14:48
Minneapolis,Minnesota,United States,"Minneapolis, United States",1,4/26/15 14:48
Paris,isle-de-France,France,"Paris, France",0,4/26/15 14:48
Stuttgart,Baden-Wurttemberg,Germany,"Stuttgart, Germany",0,4/26/15 14:48
Berne,Canton of Bern,Switzerland,"Berne, Switzerland",1,4/26/15 14:49
Bhakrota,Rajasthan,India,"Bhakrota, India",0,4/26/15 14:49
Fairport,New York,United States,"Fairport, United States",4,4/26/15 14:49
Lakewood,Colorado,United States,"Lakewood, United States",2,4/26/15 14:49
Linz,Upper Austria,Austria,"Linz, Austria",1,4/26/15 14:49
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 14:49
Nuremberg,Bavaria,Germany,"Nuremberg, Germany",0,4/26/15 14:49
Santa Barbara,California,United States,"Santa Barbara, United States",2,4/26/15 14:49
Shipton Bellinger,England,United Kingdom,"Shipton Bellinger, United Kingdom",3,4/26/15 14:49
Aberdeen,Scotland,United Kingdom,"Aberdeen, United Kingdom",0,4/26/15 14:51
Atlanta,Georgia,United States,"Atlanta, United States",0,4/26/15 14:51
Belfast,Northern Ireland,United Kingdom,"Belfast, United Kingdom",0,4/26/15 14:51
Colorado Springs,Colorado,United States,"Colorado Springs, United States",1,4/26/15 14:51
Glasgow,Scotland,United Kingdom,"Glasgow, United Kingdom",0,4/26/15 14:51
Teddington,England,United Kingdom,"Teddington, United Kingdom",8,4/26/15 14:51
Viuz-en-Sallaz,Rhone-Alpes,France,"Viuz-en-Sallaz, France",100,4/26/15 14:51
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 14:53
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 14:53
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 14:53
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 14:53
New York,New York,United States,"New York, United States",0,4/26/15 14:53
Orchard Park,New York,United States,"Orchard Park, United States",17,4/26/15 14:53
Pomona,California,United States,"Pomona, United States",7,4/26/15 14:53
Potomac Falls,Virginia,United States,"Potomac Falls, United States",8,4/26/15 14:53
Villenave-d'Ornon,Aquitaine,France,"Villenave-d'Ornon, France",11,4/26/15 14:53
Aventura,Florida,United States,"Aventura, United States",5,4/26/15 14:56
Edmonton,Alberta,Canada,"Edmonton, Canada",0,4/26/15 14:56
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 14:56
North Vancouver,British Columbia,Canada,"North Vancouver, Canada",3,4/26/15 14:56
South Cave,England,United Kingdom,"South Cave, United Kingdom",1,4/26/15 14:56
Victoria,British Columbia,Canada,"Victoria, Canada",1,4/26/15 14:56
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 14:58
Bonn,North Rhine-Westphalia,Germany,"Bonn, Germany",0,4/26/15 14:58
Boston,Massachusetts,United States,"Boston, United States",0,4/26/15 14:58
Cambridge,Massachusetts,United States,"Cambridge, United States",1,4/26/15 14:58
Chicago,Illinois,United States,"Chicago, United States",0,4/26/15 14:58
Dehradun,Uttarakhand,India,"Dehradun, India",3,4/26/15 14:58
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 14:58
Kandigai,Tamil Nadu,India,"Kandigai, India",100,4/26/15 14:58
Konstanz,Baden-Wurttemberg,Germany,"Konstanz, Germany",1,4/26/15 14:58
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 14:58
Abu Dhabi,Abu Dhabi,United Arab Emirates,"Abu Dhabi, United Arab Emirates",0,4/26/15 14:59
Berlin,Berlin,Germany,"Berlin, Germany",0,4/26/15 14:59
College Park,Georgia,United States,"College Park, United States",6,4/26/15 14:59
Hialeah,Florida,United States,"Hialeah, United States",1,4/26/15 14:59
Kaiserslautern,Rhineland-Palatinate,Germany,"Kaiserslautern, Germany",1,4/26/15 14:59
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 14:59
Roanne,Rhone-Alpes,France,"Roanne, France",5,4/26/15 14:59
Amherst,Massachusetts,United States,"Amherst, United States",4,4/26/15 15:00
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/26/15 15:00
Glasgow,Scotland,United Kingdom,"Glasgow, United Kingdom",0,4/26/15 15:00
Managua,Managua,Nicaragua,"Managua, Nicaragua",1,4/26/15 15:00
New York,New York,United States,"New York, United States",0,4/26/15 15:00
Muurame,Central Finland,Finland,"Muurame, Finland",5,4/26/15 15:01
Brushy Creek,Texas,United States,"Brushy Creek, United States",13,4/26/15 15:01
Florida,New York,United States,"Florida, United States",100,4/26/15 15:01
Manama,Capital Governorate,Bahrain,"Manama, Bahrain",0,4/26/15 15:01
Osaka,Osaka Prefecture,Japan,"Osaka, Japan",0,4/26/15 15:01
Palma de Mallorca,Balearic Islands,Spain,"Palma de Mallorca, Spain",1,4/26/15 15:01
Fairport,New York,United States,"Fairport, United States",3,4/26/15 15:05
Halifax,Nova Scotia,Canada,"Halifax, Canada",1,4/26/15 15:05
Hungen,Hesse,Germany,"Hungen, Germany",50,4/26/15 15:05
Puebla,Puebla,Mexico,"Puebla, Mexico",0,4/26/15 15:05
San Antonio,Texas,United States,"San Antonio, United States",0,4/26/15 15:05
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 15:06
Bhalki,Karnataka,India,"Bhalki, India",100,4/26/15 15:06
Denver,Colorado,United States,"Denver, United States",0,4/26/15 15:06
Forest Park,Illinois,United States,"Forest Park, United States",5,4/26/15 15:06
Garden City,Michigan,United States,"Garden City, United States",9,4/26/15 15:06
Hamburg,Hamburg,Germany,"Hamburg, Germany",0,4/26/15 15:06
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/26/15 15:06
Houston,Texas,United States,"Houston, United States",0,4/26/15 15:06
Jersey City,New Jersey,United States,"Jersey City, United States",1,4/26/15 15:06
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:06
Lugano,Ticino,Switzerland,"Lugano, Switzerland",1,4/26/15 15:06
Munich,Bavaria,Germany,"Munich, Germany",0,4/26/15 15:06
St. Albert,Alberta,Canada,"St. Albert, Canada",4,4/26/15 15:06
Swadlincote,England,United Kingdom,"Swadlincote, United Kingdom",4,4/26/15 15:06
Blaricum,North Holland,Netherlands,"Blaricum, Netherlands",1,4/26/15 15:11
Buochs,Nidwalden,Switzerland,"Buochs, Switzerland",33,4/26/15 15:11
Cardiff,Wales,United Kingdom,"Cardiff, United Kingdom",0,4/26/15 15:11
Cary,North Carolina,United States,"Cary, United States",1,4/26/15 15:11
Houston,Texas,United States,"Houston, United States",0,4/26/15 15:11
New York,New York,United States,"New York, United States",0,4/26/15 15:11
Pokhara,Western Region,Nepal,"Pokhara, Nepal",4,4/26/15 15:11
Wellington,Wellington,New Zealand,"Wellington, New Zealand",5,4/26/15 15:11
Baltimore,Maryland,United States,"Baltimore, United States",0,4/26/15 15:12
Evanston,Illinois,United States,"Evanston, United States",2,4/26/15 15:12
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:12
Morley,England,United Kingdom,"Morley, United Kingdom",11,4/26/15 15:12
River Falls,Wisconsin,United States,"River Falls, United States",33,4/26/15 15:12
Toronto,Ontario,Canada,"Toronto, Canada",0,4/26/15 15:12
Alameda,California,United States,"Alameda, United States",5,4/26/15 15:13
Atlanta,Georgia,United States,"Atlanta, United States",0,4/26/15 15:13
Dehradun,Uttarakhand,India,"Dehradun, India",3,4/26/15 15:13
Hagerstown,Maryland,United States,"Hagerstown, United States",4,4/26/15 15:13
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 15:13
New York,New York,United States,"New York, United States",0,4/26/15 15:13
North Canton,Ohio,United States,"North Canton, United States",10,4/26/15 15:13
Pune,Maharashtra,India,"Pune, India",0,4/26/15 15:13
Rome,Lazio,Italy,"Rome, Italy",0,4/26/15 15:13
Shah Alam,Selangor,Malaysia,"Shah Alam, Malaysia",1,4/26/15 15:13
Yokohama,Kanagawa Prefecture,Japan,"Yokohama, Japan",0,4/26/15 15:13
Zurich,Canton of Zurich,Switzerland,"Zurich, Switzerland",0,4/26/15 15:13
Chandigarh,Chandigarh,India,"Chandigarh, India",0,4/26/15 15:14
Coquitlam,British Columbia,Canada,"Coquitlam, Canada",3,4/26/15 15:14
Eversley,England,United Kingdom,"Eversley, United Kingdom",3,4/26/15 15:14
Loxwood,England,United Kingdom,"Loxwood, United Kingdom",14,4/26/15 15:14
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 15:14
Russett,Maryland,United States,"Russett, United States",2,4/26/15 15:14
Arroyo Grande,California,United States,"Arroyo Grande, United States",10,4/26/15 15:16
Citrus Heights,California,United States,"Citrus Heights, United States",8,4/26/15 15:16
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 15:16
Glen Burnie,Maryland,United States,"Glen Burnie, United States",7,4/26/15 15:16
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 15:16
Lucknow,Uttar Pradesh,India,"Lucknow, India",0,4/26/15 15:16
Marshall,Minnesota,United States,"Marshall, United States",17,4/26/15 15:16
Mumbai,Maharashtra,India,"Mumbai, India",0,4/26/15 15:16
New York,New York,United States,"New York, United States",0,4/26/15 15:16
Newark,California,United States,"Newark, United States",3,4/26/15 15:16
Peterborough,England,United Kingdom,"Peterborough, United Kingdom",1,4/26/15 15:16
Rochester Hills,Michigan,United States,"Rochester Hills, United States",3,4/26/15 15:16
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 15:16
Riva del Garda,Trentino-Alto Adige/Sisdtirol,Italy,"Riva del Garda, Italy",14,4/26/15 15:17
Austin,Texas,United States,"Austin, United States",0,4/26/15 15:17
Cologne,North Rhine-Westphalia,Germany,"Cologne, Germany",0,4/26/15 15:17
Dresden,Saxony,Germany,"Dresden, Germany",0,4/26/15 15:17
Hamburg,Hamburg,Germany,"Hamburg, Germany",0,4/26/15 15:17
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",0,4/26/15 15:17
Leipzig,Saxony,Germany,"Leipzig, Germany",0,4/26/15 15:17
Munich,Bavaria,Germany,"Munich, Germany",0,4/26/15 15:17
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 15:17
Pirbright,England,United Kingdom,"Pirbright, United Kingdom",6,4/26/15 15:17
Buenos Aires,Autonomous City of Buenos Aires,Argentina,"Buenos Aires, Argentina",0,4/26/15 15:18
Gensingen,Rhineland-Palatinate,Germany,"Gensingen, Germany",50,4/26/15 15:18
Irving,Texas,United States,"Irving, United States",1,4/26/15 15:18
Kampala,Central Region,Uganda,"Kampala, Uganda",0,4/26/15 15:18
Molesey,England,United Kingdom,"Molesey, United Kingdom",7,4/26/15 15:18
Nashville,Tennessee,United States,"Nashville, United States",0,4/26/15 15:18
Pune,Maharashtra,India,"Pune, India",0,4/26/15 15:18
Tacoma,Washington,United States,"Tacoma, United States",2,4/26/15 15:18
Chicago,Illinois,United States,"Chicago, United States",0,4/26/15 15:19
Courtenay,British Columbia,Canada,"Courtenay, Canada",6,4/26/15 15:19
Senghenydd,Wales,United Kingdom,"Senghenydd, United Kingdom",7,4/26/15 15:19
Southend-on-Sea,England,United Kingdom,"Southend-on-Sea, United Kingdom",2,4/26/15 15:19
Upland,California,United States,"Upland, United States",5,4/26/15 15:19
Belmopan,Cayo,Belize,"Belmopan, Belize",17,4/26/15 15:20
Blaine,Minnesota,United States,"Blaine, United States",4,4/26/15 15:20
Brighton,England,United Kingdom,"Brighton, United Kingdom",0,4/26/15 15:20
Edmonton,Alberta,Canada,"Edmonton, Canada",0,4/26/15 15:20
Hinwil,Canton of Zurich,Switzerland,"Hinwil, Switzerland",50,4/26/15 15:20
Homagama,Western Province,Sri Lanka,"Homagama, Sri Lanka",0,4/26/15 15:20
Houston,Texas,United States,"Houston, United States",0,4/26/15 15:20
Omaha,Nebraska,United States,"Omaha, United States",0,4/26/15 15:20
Riverside,California,United States,"Riverside, United States",2,4/26/15 15:20
Sidoarjo,East Java,Indonesia,"Sidoarjo, Indonesia",5,4/26/15 15:20
Yangon,Yangon Region,Myanma,"Yangon, Myanma",0,4/26/15 15:20
Albufeira,Faro District,Portugal,"Albufeira, Portugal",4,4/26/15 15:21
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 15:21
Berlin,Berlin,Germany,"Berlin, Germany",0,4/26/15 15:21
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 15:21
Hialeah,Florida,United States,"Hialeah, United States",1,4/26/15 15:21
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:21
Minneapolis,Minnesota,United States,"Minneapolis, United States",1,4/26/15 15:21
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 15:21
Oberursel,Hesse,Germany,"Oberursel, Germany",4,4/26/15 15:21
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/26/15 15:21
Seattle,Washington,United States,"Seattle, United States",0,4/26/15 15:21
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 15:23
Bethesda,Maryland,United States,"Bethesda, United States",3,4/26/15 15:23
Halifax,Nova Scotia,Canada,"Halifax, Canada",1,4/26/15 15:23
Halle,Saxony-Anhalt,Germany,"Halle, Germany",1,4/26/15 15:23
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:23
Milan,Lombardy,Italy,"Milan, Italy",0,4/26/15 15:23
Munich,Bavaria,Germany,"Munich, Germany",0,4/26/15 15:23
Springfield,Virginia,United States,"Springfield, United States",6,4/26/15 15:23
Sutton,England,United Kingdom,"Sutton, United Kingdom",2,4/26/15 15:23
Toulouse,Midi-Pyrenees,France,"Toulouse, France",0,4/26/15 15:23
Wolf Trap,Virginia,United States,"Wolf Trap, United States",33,4/26/15 15:23
Bogotia,Cundinamarca,Colombia,"Bogotia, Colombia",0,4/26/15 15:24
Hanoi,Hanoi,Vietnam,"Hanoi, Vietnam",0,4/26/15 15:24
Hyderabad,Andhra Pradesh,India,"Hyderabad, India",0,4/26/15 15:24
Lagos,Lagos,Nigeria,"Lagos, Nigeria",0,4/26/15 15:24
Lake Forest Park,Washington,United States,"Lake Forest Park, United States",0,4/26/15 15:24
Los Angeles,California,United States,"Los Angeles, United States",0,4/26/15 15:24
Rockledge,Florida,United States,"Rockledge, United States",10,4/26/15 15:24
Ahmedabad,Gujarat,India,"Ahmedabad, India",0,4/26/15 15:25
Ann Arbor,Michigan,United States,"Ann Arbor, United States",1,4/26/15 15:25
Baton Rouge,Louisiana,United States,"Baton Rouge, United States",1,4/26/15 15:25
Camrose,Alberta,Canada,"Camrose, Canada",14,4/26/15 15:25
Los Alamos,California,United States,"Los Alamos, United States",5,4/26/15 15:25
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/26/15 15:25
Mumbai,Maharashtra,India,"Mumbai, India",0,4/26/15 15:25
New York,New York,United States,"New York, United States",0,4/26/15 15:25
Pearisburg,Virginia,United States,"Pearisburg, United States",100,4/26/15 15:25
Pune,Maharashtra,India,"Pune, India",0,4/26/15 15:25
Reutlingen,Baden-Wurttemberg,Germany,"Reutlingen, Germany",2,4/26/15 15:25
San Diego,California,United States,"San Diego, United States",0,4/26/15 15:25
San Francisco,California,United States,"San Francisco, United States",0,4/26/15 15:25
Sidoarjo,East Java,Indonesia,"Sidoarjo, Indonesia",5,4/26/15 15:25
Yokohama,Kanagawa Prefecture,Japan,"Yokohama, Japan",0,4/26/15 15:25
Bangor,Maine,United States,"Bangor, United States",4,4/26/15 15:26
Berne,Canton of Bern,Switzerland,"Berne, Switzerland",1,4/26/15 15:26
Columbia,Maryland,United States,"Columbia, United States",2,4/26/15 15:26
Gothenburg,Visstra Gotaland County,Sweden,"Gothenburg, Sweden",0,4/26/15 15:26
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 15:26
Irvine,California,United States,"Irvine, United States",1,4/26/15 15:26
Kuching,Sarawak,Malaysia,"Kuching, Malaysia",1,4/26/15 15:26
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:26
Nagasaki,Nagasaki Prefecture,Japan,"Nagasaki, Japan",1,4/26/15 15:26
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 15:26
Pleasanton,California,United States,"Pleasanton, United States",3,4/26/15 15:26
Reading,England,United Kingdom,"Reading, United Kingdom",1,4/26/15 15:26
Santa Rosa,California,United States,"Santa Rosa, United States",2,4/26/15 15:26
Tampa,Florida,United States,"Tampa, United States",0,4/26/15 15:26
Woodlawn,Maryland,United States,"Woodlawn, United States",8,4/26/15 15:26
Yeadon,England,United Kingdom,"Yeadon, United Kingdom",8,4/26/15 15:26
Bodrum,Mu€Ùla Province,Turkey,"Bodrum, Turkey",4,4/26/15 15:27
Brampton,Ontario,Canada,"Brampton, Canada",0,4/26/15 15:27
Dana Point,California,United States,"Dana Point, United States",11,4/26/15 15:27
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/26/15 15:27
Hershey,Pennsylvania,United States,"Hershey, United States",6,4/26/15 15:27
Hinckley,England,United Kingdom,"Hinckley, United Kingdom",1,4/26/15 15:27
Houston,Texas,United States,"Houston, United States",0,4/26/15 15:27
Norderstedt,Schleswig-Holstein,Germany,"Norderstedt, Germany",4,4/26/15 15:27
Pleasanton,California,United States,"Pleasanton, United States",3,4/26/15 15:27
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 15:28
Bhakrota,Rajasthan,India,"Bhakrota, India",0,4/26/15 15:28
Leeds,England,United Kingdom,"Leeds, United Kingdom",0,4/26/15 15:28
Los Angeles,California,United States,"Los Angeles, United States",0,4/26/15 15:28
Philadelphia,Pennsylvania,United States,"Philadelphia, United States",0,4/26/15 15:28
Phuentsholing,Chhukha,Bhutan,"Phuentsholing, Bhutan",50,4/26/15 15:28
Rome,Lazio,Italy,"Rome, Italy",0,4/26/15 15:28
San Jose,California,United States,"San Jose, United States",0,4/26/15 15:28
Tunapuna,Tunapuna-Piarco,Trinidad and Tobago,"Tunapuna, Trinidad and Tobago",7,4/26/15 15:28
Brookfield,Wisconsin,United States,"Brookfield, United States",8,4/26/15 15:30
Canmore,Alberta,Canada,"Canmore, Canada",6,4/26/15 15:30
Glenwood Springs,Colorado,United States,"Glenwood Springs, United States",25,4/26/15 15:30
Haddonfield,New Jersey,United States,"Haddonfield, United States",17,4/26/15 15:30
Ilford,England,United Kingdom,"Ilford, United Kingdom",1,4/26/15 15:30
Irvine,California,United States,"Irvine, United States",1,4/26/15 15:30
Lubeck,Schleswig-Holstein,Germany,"Lubeck, Germany",1,4/26/15 15:30
Morro Bay,California,United States,"Morro Bay, United States",5,4/26/15 15:30
Paderborn,North Rhine-Westphalia,Germany,"Paderborn, Germany",0,4/26/15 15:30
Seoul,Gyeonggi-do,South Korea,"Seoul, South Korea",0,4/26/15 15:30
Stockbridge,Georgia,United States,"Stockbridge, United States",2,4/26/15 15:30
Subang Jaya,Selangor,Malaysia,"Subang Jaya, Malaysia",1,4/26/15 15:30
Wembley,England,United Kingdom,"Wembley, United Kingdom",2,4/26/15 15:30
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 15:31
Copenhagen,Capital Region of Denmark,Denmark,"Copenhagen, Denmark",0,4/26/15 15:31
Hamm,North Rhine-Westphalia,Germany,"Hamm, Germany",1,4/26/15 15:31
Muscat,Muscat,Oman,"Muscat, Oman",0,4/26/15 15:31
Phnom Penh,Phnom Penh,Cambodia,"Phnom Penh, Cambodia",0,4/26/15 15:31
West Jordan,Utah,United States,"West Jordan, United States",5,4/26/15 15:31
Bangalore,Karnataka,India,"Bangalore, India",0,4/26/15 15:32
Calgary,Alberta,Canada,"Calgary, Canada",0,4/26/15 15:32
Coimbatore,Tamil Nadu,India,"Coimbatore, India",0,4/26/15 15:32
Denver,Colorado,United States,"Denver, United States",0,4/26/15 15:32
Golden Valley,Minnesota,United States,"Golden Valley, United States",0,4/26/15 15:32
Munich,Bavaria,Germany,"Munich, Germany",0,4/26/15 15:33
Peterborough,England,United Kingdom,"Peterborough, United Kingdom",1,4/26/15 15:33
Quezon City,Metro Manila,Philippines,"Quezon City, Philippines",0,4/26/15 15:33
St. Petersburg,Florida,United States,"St. Petersburg, United States",1,4/26/15 15:33
Beirut,Beirut,Lebanon,"Beirut, Lebanon",0,4/26/15 15:34
Boston,Massachusetts,United States,"Boston, United States",0,4/26/15 15:34
Brilon,North Rhine-Westphalia,Germany,"Brilon, Germany",17,4/26/15 15:34
Hwaseong-si,Gyeonggi-do,South Korea,"Hwaseong-si, South Korea",2,4/26/15 15:34
Santa Monica,California,United States,"Santa Monica, United States",3,4/26/15 15:34
Seattle,Washington,United States,"Seattle, United States",0,4/26/15 15:34
South Hill,New York,United States,"South Hill, United States",14,4/26/15 15:34
Almaty,Almaty Province,Kazakhstan,"Almaty, Kazakhstan",0,4/26/15 15:36
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 15:36
Basingstoke,England,United Kingdom,"Basingstoke, United Kingdom",1,4/26/15 15:36
Chapmansboro,Tennessee,United States,"Chapmansboro, United States",2,4/26/15 15:36
Ilford,England,United Kingdom,"Ilford, United Kingdom",1,4/26/15 15:36
Istanbul,Istanbul Province,Turkey,"Istanbul, Turkey",0,4/26/15 15:36
Kilsby,England,United Kingdom,"Kilsby, United Kingdom",5,4/26/15 15:36
Minneapolis,Minnesota,United States,"Minneapolis, United States",1,4/26/15 15:36
Montreal,Quebec,Canada,"Montreal, Canada",0,4/26/15 15:36
New York,New York,United States,"New York, United States",0,4/26/15 15:36
South Miami,Florida,United States,"South Miami, United States",7,4/26/15 15:36
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/26/15 15:36
Tittensor,England,United Kingdom,"Tittensor, United Kingdom",1,4/26/15 15:36
Amersham,England,United Kingdom,"Amersham, United Kingdom",17,4/26/15 15:39
Borough Green,England,United Kingdom,"Borough Green, United Kingdom",50,4/26/15 15:39
Dinnington,England,United Kingdom,"Dinnington, United Kingdom",1,4/26/15 15:39
Edgware,England,United Kingdom,"Edgware, United Kingdom",2,4/26/15 15:39
Flint Township,Michigan,United States,"Flint Township, United States",13,4/26/15 15:39
Hamburg,Hamburg,Germany,"Hamburg, Germany",0,4/26/15 15:39
IJmuiden,North Holland,Netherlands,"IJmuiden, Netherlands",6,4/26/15 15:39
Maple Grove,Minnesota,United States,"Maple Grove, United States",3,4/26/15 15:39
Milan,Lombardy,Italy,"Milan, Italy",0,4/26/15 15:39
New Delhi,Delhi,India,"New Delhi, India",0,4/26/15 15:39
Nuremberg,Bavaria,Germany,"Nuremberg, Germany",0,4/26/15 15:39
Sheridan,Oregon,United States,"Sheridan, United States",0,4/26/15 15:39
Trento,Trentino-Alto Adige/Sisdtirol,Italy,"Trento, Italy",1,4/26/15 15:39
Ipoh,Perak,Malaysia,"Ipoh, Malaysia",1,4/26/15 15:40
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/26/15 15:40
Copenhagen,Capital Region of Denmark,Denmark,"Copenhagen, Denmark",0,4/26/15 15:40
Costa Mesa,California,United States,"Costa Mesa, United States",3,4/26/15 15:40
Cumberland,Maine,United States,"Cumberland, United States",50,4/26/15 15:40
Denver,Colorado,United States,"Denver, United States",0,4/26/15 15:40
Glendale,California,United States,"Glendale, United States",2,4/26/15 15:40
Houston,Texas,United States,"Houston, United States",0,4/26/15 15:40
Howrah,West Bengal,India,"Howrah, India",0,4/26/15 15:40
Jammu,Jammu and Kashmir,India,"Jammu, India",1,4/26/15 15:40
London,England,United Kingdom,"London, United Kingdom",0,4/26/15 15:40
San Francisco,California,United States,"San Francisco, United States",0,4/26/15 15:40
St. Louis,Missouri,United States,"St. Louis, United States",0,4/26/15 15:40
Barcelona,Catalonia,Spain,"Barcelona, Spain",0,4/26/15 15:42
Carson City,Nevada,United States,"Carson City, United States",9,4/26/15 15:42
Cheltenham,England,United Kingdom,"Cheltenham, United Kingdom",2,4/26/15 15:42
Chennai,Tamil Nadu,India,"Chennai, India",0,4/26/15 15:42
Chiang Mai,Chiang Mai,Thailand,"Chiang Mai, Thailand",0,4/26/15 15:42
